SDS-Number,Product Name,Manufacturer,SDS-Number,LL Number,Chemical Component,CAS Number,% Context,Min %,Max %,Avg %,% Range,SARA 313 %
SDS-008181,"10,000 mg/L Sodium","Spex Certiprep, LLC",SDS-008181,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,92.70%,92.70%,92.70%,92.70%,0.00%
SDS-008181,"10,000 mg/L Sodium","Spex Certiprep, LLC",SDS-008181,,Nitric Acid,7697-37-2,n/a,5.00%,5.00%,5.00%,5.00%,0.00%
SDS-008181,"10,000 mg/L Sodium","Spex Certiprep, LLC",SDS-008181,,Sodium From Sodium Carbonate,7440-23-5,n/a,2.30%,2.30%,2.30%,2.30%,0.00%
SDS-007768,"10,000 mg/L Sulfur","Spex Certiprep, LLC",SDS-007768,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,95.88%,95.88%,95.88%,95.88%,0.00%
SDS-007768,"10,000 mg/L Sulfur","Spex Certiprep, LLC",SDS-007768,,Ammonium Sulphate,7783-20-2,n/a,4.12%,4.12%,4.12%,4.12%,0.00%
SDS-002196,"10,000 mg/L Yttrium","Spex Certiprep, LLC",SDS-002196,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,93.76%,93.76%,93.76%,93.76%,0.00%
SDS-002196,"10,000 mg/L Yttrium","Spex Certiprep, LLC",SDS-002196,,Nitric Acid,7697-37-2,n/a,5.00%,5.00%,5.00%,5.00%,0.00%
SDS-002196,"10,000 mg/L Yttrium","Spex Certiprep, LLC",SDS-002196,,Yttrium Oxide,1314-36-9,n/a,1.24%,1.24%,1.24%,1.24%,0.00%
SDS-005091,1000L Universal Negative Control,Scimedx,SDS-005091,,Human Serum, ,n/a,0.20%,68.00%,34.10%,0.2-68%,0.00%
SDS-005091,1000L Universal Negative Control,Scimedx,SDS-005091,,"Albumin, bovine serum",9048-46-8,n/a,0.41%,1.28%,0.84%,0.4096-1.2768%,0.00%
SDS-005091,1000L Universal Negative Control,Scimedx,SDS-005091,,"2-Amino-2-(Hydroxymethyl)-1,3-Propanediol",77-86-1,n/a,0.25%,0.70%,0.47%,0.2464-0.768075%,0.00%
SDS-005091,1000L Universal Negative Control,Scimedx,SDS-005091,,Hydrochloric Acid,7647-01-0,n/a,0.20%,0.70%,0.45%,0.21504-0.727776%,0.00%
SDS-005091,1000L Universal Negative Control,Scimedx,SDS-005091,,Sodium Azide,26628-22-8,n/a,0.03%,0.09%,0.06%,0.0304-0.0947625%,0.00%
SDS-005091,1000L Universal Negative Control,Scimedx,SDS-005091,,"Magnesium Chloride, Hexahydrate",7791-18-6,n/a,0.01%,0.03%,0.02%,0.0096-0.029925%,0.00%
SDS-008187,1000 mg/L Antimony,"Spex Certiprep, LLC",SDS-008187,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,98.40%,98.40%,98.40%,98.40%,0.00%
SDS-008187,1000 mg/L Antimony,"Spex Certiprep, LLC",SDS-008187,,Nitric Acid,7697-37-2,n/a,0.90%,0.90%,0.90%,0.90%,0.00%
SDS-008187,1000 mg/L Antimony,"Spex Certiprep, LLC",SDS-008187,,Tartaric Acid,87-69-4,n/a,0.60%,0.60%,0.60%,0.60%,0.00%
SDS-008187,1000 mg/L Antimony,"Spex Certiprep, LLC",SDS-008187,,Antimony,7440-36-0,n/a,0.10%,0.10%,0.10%,0.10%,0.00%
SDS-002485,1000 mg/L Germanium,"Spex Certiprep, LLC",SDS-002485,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,99.70%,99.70%,99.70%,99.70%,0.00%
SDS-002485,1000 mg/L Germanium,"Spex Certiprep, LLC",SDS-002485,,Germanium from Ammonium hexafluorogermanate(IV),7440-56-4,n/a,0.30%,0.30%,0.30%,0.30%,0.00%
SDS-008185,1000 mg/L Iridium,"Spex Certiprep, LLC",SDS-008185,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,89.82%,89.82%,89.82%,89.82%,0.00%
SDS-008185,1000 mg/L Iridium,"Spex Certiprep, LLC",SDS-008185,,Hydrochloric Acid,7647-01-0,n/a,10.00%,10.00%,10.00%,10.00%,0.00%
SDS-008185,1000 mg/L Iridium,"Spex Certiprep, LLC",SDS-008185,,Iridium From Iridium(Iii) Chloride Hydrate,7439-88-5,n/a,0.18%,0.18%,0.18%,0.18%,0.00%
SDS-008188,1000 mg/L Tin,"Spex Certiprep, LLC",SDS-008188,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,97.90%,97.90%,97.90%,97.90%,0.00%
SDS-008188,1000 mg/L Tin,"Spex Certiprep, LLC",SDS-008188,,Hydrofluoric Acid,7664-39-3,n/a,1.00%,1.00%,1.00%,1.00%,0.00%
SDS-008188,1000 mg/L Tin,"Spex Certiprep, LLC",SDS-008188,,Nitric Acid,7697-37-2,n/a,1.00%,1.00%,1.00%,1.00%,0.00%
SDS-008188,1000 mg/L Tin,"Spex Certiprep, LLC",SDS-008188,,Tin,7440-31-5,n/a,0.10%,0.10%,0.10%,0.10%,0.00%
SDS-007582,1000 ?g/mL Antimony,"Spex Certiprep, LLC",SDS-007582,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,98.40%,98.40%,98.40%,98.40%,0.00%
SDS-007582,1000 ?g/mL Antimony,"Spex Certiprep, LLC",SDS-007582,,Nitric Acid,7697-37-2,n/a,0.90%,0.90%,0.90%,0.90%,0.00%
SDS-007582,1000 ?g/mL Antimony,"Spex Certiprep, LLC",SDS-007582,,Tartaric Acid,87-69-4,n/a,0.60%,0.60%,0.60%,0.60%,0.00%
SDS-007582,1000 ?g/mL Antimony,"Spex Certiprep, LLC",SDS-007582,,Antimony,7440-36-0,n/a,0.10%,0.10%,0.10%,0.10%,0.00%
SDS-008184,1000 ?g/mL Barium,"Spex Certiprep, LLC",SDS-008184,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,97.86%,97.86%,97.86%,97.86%,0.00%
SDS-008184,1000 ?g/mL Barium,"Spex Certiprep, LLC",SDS-008184,,Nitric Acid,7697-37-2,n/a,2.00%,2.00%,2.00%,2.00%,0.00%
SDS-008184,1000 ?g/mL Barium,"Spex Certiprep, LLC",SDS-008184,,Barium Carbonate,513-77-9,n/a,0.14%,0.14%,0.14%,0.14%,0.00%
SDS-002396,1000 ?g/mL Gold,"Spex Certiprep, LLC",SDS-002396,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,89.90%,89.90%,89.90%,89.90%,0.00%
SDS-002396,1000 ?g/mL Gold,"Spex Certiprep, LLC",SDS-002396,,Hydrochloric Acid,7647-01-0,n/a,10.00%,10.00%,10.00%,10.00%,0.00%
SDS-002396,1000 ?g/mL Gold,"Spex Certiprep, LLC",SDS-002396,,Gold,7440-57-5,n/a,0.10%,0.10%,0.10%,0.10%,0.00%
SDS-002444,1000 ?g/mL Lead,Inorganic Ventures,SDS-002444,,Water,7732-18-5,n/a,97.00%,99.10%,98.05%,~97-99.1%,0.00%
SDS-002444,1000 ?g/mL Lead,Inorganic Ventures,SDS-002444,,Nitric Acid,7697-37-2,n/a,0.00%,2.00%,1.00%,~0-2%,0.00%
SDS-002444,1000 ?g/mL Lead,Inorganic Ventures,SDS-002444,,Lead Nitrate,10099-74-8,n/a,0.10%,1.00%,0.55%,~0.1-1%,0.00%
SDS-007581,1000 ?g/mL Phosphorus,"Spex Certiprep, LLC",SDS-007581,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,99.63%,99.63%,99.63%,99.63%,0.00%
SDS-007581,1000 ?g/mL Phosphorus,"Spex Certiprep, LLC",SDS-007581,,Ammonium Dihydrogen Orthophosphate,7722-76-1,n/a,0.37%,0.37%,0.37%,0.37%,0.00%
SDS-007580,1000 ?g/mL Sodium,"Spex Certiprep, LLC",SDS-007580,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,97.90%,97.90%,97.90%,97.90%,0.00%
SDS-007580,1000 ?g/mL Sodium,"Spex Certiprep, LLC",SDS-007580,,Nitric Acid,7697-37-2,n/a,2.00%,2.00%,2.00%,2.00%,0.00%
SDS-007580,1000 ?g/mL Sodium,"Spex Certiprep, LLC",SDS-007580,,Sodium From Sodium Carbonate,7440-23-5,n/a,0.10%,0.10%,0.10%,0.10%,0.00%
SDS-007583,1000 ?g/mL Thorium,"Spex Certiprep, LLC",SDS-007583,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,97.90%,97.90%,97.90%,97.90%,0.00%
SDS-007583,1000 ?g/mL Thorium,"Spex Certiprep, LLC",SDS-007583,,Nitric Acid,7697-37-2,n/a,2.00%,2.00%,2.00%,2.00%,0.00%
SDS-007583,1000 ?g/mL Thorium,"Spex Certiprep, LLC",SDS-007583,,Thorium from Thorium nitrate hydrate,7440-29-1,n/a,0.10%,0.10%,0.10%,0.10%,0.00%
SDS-007584,1000 ?g/mL Tin,"Spex Certiprep, LLC",SDS-007584,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,97.90%,97.90%,97.90%,97.90%,0.00%
SDS-007584,1000 ?g/mL Tin,"Spex Certiprep, LLC",SDS-007584,,Hydrofluoric Acid,7664-39-3,n/a,1.00%,1.00%,1.00%,1.00%,0.00%
SDS-007584,1000 ?g/mL Tin,"Spex Certiprep, LLC",SDS-007584,,Nitric Acid,7697-37-2,n/a,1.00%,1.00%,1.00%,1.00%,0.00%
SDS-007584,1000 ?g/mL Tin,"Spex Certiprep, LLC",SDS-007584,,Tin,7440-31-5,n/a,0.10%,0.10%,0.10%,0.10%,0.00%
SDS-002483,"10015654, DRI pH Detect Test","Thermo Fisher Scientific, Inc.",SDS-002483,"10092568, 10092569, 10103514",Non-Hazardous Reagent(s), ,n/a,100.00%,100.00%,100.00%,~100%,0.00%
SDS-008183,100 ?g/mL Gold,"Spex Certiprep, LLC",SDS-008183,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,97.99%,97.99%,97.99%,97.99%,0.00%
SDS-008183,100 ?g/mL Gold,"Spex Certiprep, LLC",SDS-008183,,Hydrochloric Acid,7647-01-0,n/a,2.00%,2.00%,2.00%,2.00%,0.00%
SDS-008183,100 ?g/mL Gold,"Spex Certiprep, LLC",SDS-008183,,Gold,7440-57-5,n/a,0.01%,0.01%,0.01%,0.01%,0.00%
SDS-007579,100 ?g/mL Gold,"Spex Certiprep, LLC",SDS-007579,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,97.99%,97.99%,97.99%,97.99%,0.00%
SDS-007579,100 ?g/mL Gold,"Spex Certiprep, LLC",SDS-007579,,Hydrochloric Acid,7647-01-0,n/a,2.00%,2.00%,2.00%,2.00%,0.00%
SDS-007579,100 ?g/mL Gold,"Spex Certiprep, LLC",SDS-007579,,Gold,7440-57-5,n/a,0.01%,0.01%,0.01%,0.01%,0.00%
SDS-002118,100 ?g/mL Scandium,Inorganic Ventures,SDS-002118,,Water,7732-18-5,n/a,0.00%,93.00%,46.50%,~93%,0.00%
SDS-002118,100 ?g/mL Scandium,Inorganic Ventures,SDS-002118,,Nitric Acid,7697-37-2,n/a,0.00%,7.00%,3.50%,~7%,0.00%
SDS-006304,10251-01-002 JIG1201 GRAPHITE EXTREME 311G,"Jig-A-Loo, Inc.",SDS-006304,,Acetone,67-64-1,n/a,60.00%,100.00%,80.00%,60 - 100%,0.00%
SDS-006304,10251-01-002 JIG1201 GRAPHITE EXTREME 311G,"Jig-A-Loo, Inc.",SDS-006304,,Propane,74-98-6,n/a,10.00%,30.00%,20.00%,10 - 30%,0.00%
SDS-006304,10251-01-002 JIG1201 GRAPHITE EXTREME 311G,"Jig-A-Loo, Inc.",SDS-006304,,Isopropanol,67-63-0,n/a,3.00%,7.00%,5.00%,3 - 7%,0.00%
SDS-006304,10251-01-002 JIG1201 GRAPHITE EXTREME 311G,"Jig-A-Loo, Inc.",SDS-006304,,Graphite Powder,7782-42-5,n/a,0.50%,5.00%,2.75%,0.5 - 5%,0.00%
SDS-006307,10251-01-013US JIG1601 JIG-A-LOO 311G,"Jig-A-Loo, Inc.",SDS-006307,,Methylene Chloride,75-09-2,n/a,30.00%,60.00%,45.00%,30-60%,0.00%
SDS-006307,10251-01-013US JIG1601 JIG-A-LOO 311G,"Jig-A-Loo, Inc.",SDS-006307,,Perchloroethylene; Tetrachloroethylene,127-18-4,n/a,10.00%,30.00%,20.00%,10-30%,0.00%
SDS-006307,10251-01-013US JIG1601 JIG-A-LOO 311G,"Jig-A-Loo, Inc.",SDS-006307,,Isobutane,75-28-5,n/a,7.00%,13.00%,10.00%,7-13%,0.00%
SDS-006307,10251-01-013US JIG1601 JIG-A-LOO 311G,"Jig-A-Loo, Inc.",SDS-006307,,Propane,74-98-6,n/a,5.00%,10.00%,7.50%,5-10%,0.00%
SDS-008176,10 mg/L Mercury,"Spex Certiprep, LLC",SDS-008176,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,95.00%,95.00%,95.00%,95.00%,0.00%
SDS-008176,10 mg/L Mercury,"Spex Certiprep, LLC",SDS-008176,,Nitric Acid,7697-37-2,n/a,5.00%,5.00%,5.00%,5.00%,0.00%
SDS-008176,10 mg/L Mercury,"Spex Certiprep, LLC",SDS-008176,,Mercury,7439-97-6,n/a,0.00%,0.00%,0.00%,0.00%,0.00%
SDS-002903,10 mg/L Mercury,"Spex Certiprep, LLC",SDS-002903,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,95.00%,95.00%,95.00%,95.00%,0.00%
SDS-002903,10 mg/L Mercury,"Spex Certiprep, LLC",SDS-002903,,Nitric Acid,7697-37-2,n/a,5.00%,5.00%,5.00%,5.00%,0.00%
SDS-002903,10 mg/L Mercury,"Spex Certiprep, LLC",SDS-002903,,Mercury,7439-97-6,n/a,0.00%,0.00%,0.00%,0.00%,0.00%
SDS-008177,10 mg/L Rhodium,"Spex Certiprep, LLC",SDS-008177,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,98.00%,98.00%,98.00%,98.00%,0.00%
SDS-008177,10 mg/L Rhodium,"Spex Certiprep, LLC",SDS-008177,,Hydrochloric Acid,7647-01-0,n/a,2.00%,2.00%,2.00%,2.00%,0.00%
SDS-008177,10 mg/L Rhodium,"Spex Certiprep, LLC",SDS-008177,,Rhodium trichloride trihydrate,13569-65-8,n/a,0.00%,0.00%,0.00%,0.00%,0.00%
SDS-002873,10 mL diamond slurry (1 ?m),Antec Leyden BV,SDS-002873,,"Propylene glycol (Propane-1,2-diol particulates)",57-55-6,n/a,20.00%,30.00%,25.00%,20-30%,0.00%
SDS-007512,10% Neutral Buffered Formalin,"Leica Biosystems Richmond, Inc.",SDS-007512,,Formaldehyde,50-00-0,Less Than (Max),0.00%,6.00%,3.00%,<6%,0.00%
SDS-007512,10% Neutral Buffered Formalin,"Leica Biosystems Richmond, Inc.",SDS-007512,,Methanol,67-56-1,Less Than (Max),0.00%,2.00%,1.00%,<2%,0.00%
SDS-003169,10% Neutral Buffered Formalin,"Thermo Fisher Scientific, Inc.",SDS-003169,50899,Water,7732-18-5,n/a,94.00%,95.00%,94.50%,94 - 95%,0.00%
SDS-003169,10% Neutral Buffered Formalin,"Thermo Fisher Scientific, Inc.",SDS-003169,50899,Formaldehyde,50-00-0,n/a,3.50%,4.00%,3.75%,3.5 - 4%,0.00%
SDS-003169,10% Neutral Buffered Formalin,"Thermo Fisher Scientific, Inc.",SDS-003169,50899,Methyl Alcohol,67-56-1,n/a,1.20%,1.20%,1.20%,1.20%,0.00%
SDS-003169,10% Neutral Buffered Formalin,"Thermo Fisher Scientific, Inc.",SDS-003169,50899,"Sodium Phosphate, Dibasic",7558-79-4,Less Than (Max),0.00%,1.00%,0.50%,<1%,0.00%
SDS-003169,10% Neutral Buffered Formalin,"Thermo Fisher Scientific, Inc.",SDS-003169,50899,"Sodium Phosphate, Monobasic",7558-80-7,Less Than (Max),0.00%,1.00%,0.50%,<1%,0.00%
SDS-003236,10X TE pH 8.0 (100mM Tris HCl 10mM EDTA) DEPC TREATED,"Rockland Immunochemicals, Inc.",SDS-003236,,EDTA,60-00-4,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-003236,10X TE pH 8.0 (100mM Tris HCl 10mM EDTA) DEPC TREATED,"Rockland Immunochemicals, Inc.",SDS-003236,,Tris,77-86-1,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-008571,10 ?g/mL Mercury,"Spex Certiprep, LLC",SDS-008571,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,95.00%,95.00%,95.00%,95.00%,0.00%
SDS-008571,10 ?g/mL Mercury,"Spex Certiprep, LLC",SDS-008571,,Nitric Acid,7697-37-2,n/a,5.00%,5.00%,5.00%,5.00%,0.00%
SDS-008571,10 ?g/mL Mercury,"Spex Certiprep, LLC",SDS-008571,,Mercury,7439-97-6,n/a,0.00%,0.00%,0.00%,0.00%,0.00%
SDS-007578,10 ?g/mL Rhodium,"Spex Certiprep, LLC",SDS-007578,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,98.00%,98.00%,98.00%,98.00%,0.00%
SDS-007578,10 ?g/mL Rhodium,"Spex Certiprep, LLC",SDS-007578,,Hydrochloric Acid,7647-01-0,n/a,2.00%,2.00%,2.00%,2.00%,0.00%
SDS-007578,10 ?g/mL Rhodium,"Spex Certiprep, LLC",SDS-007578,,Rhodium trichloride trihydrate,13569-65-8,n/a,0.00%,0.00%,0.00%,0.00%,0.00%
SDS-002192,10 ?g/mL Terbium,"Spex Certiprep, LLC",SDS-002192,,"Water, Distilled, Conductivity or of Similar Purity",7732-18-5,n/a,98.00%,98.00%,98.00%,98.00%,0.00%
SDS-002192,10 ?g/mL Terbium,"Spex Certiprep, LLC",SDS-002192,,Nitric Acid,7697-37-2,n/a,2.00%,2.00%,2.00%,2.00%,0.00%
SDS-002192,10 ?g/mL Terbium,"Spex Certiprep, LLC",SDS-002192,,"Terbium From Terbium (III,IV) Oxide",7440-27-9,n/a,0.00%,0.00%,0.00%,0.00%,0.00%
SDS-009329,(±)-11-nor-9-Carboxy-?9-THC solution,Sigma-Aldrich Corp.,SDS-009329,10159875,Methanol,67-56-1,n/a,90.00%,100.00%,95.00%,90 - 100%,0.00%
SDS-009328,(+)-11-Nor-delta9-THC-9-carboxylic acid glucuronide,Sigma-Aldrich Corp.,SDS-009328,10139087,Methanol,67-56-1,n/a,90.00%,100.00%,95.00%,90 - 100%,0.00%
SDS-001008,"1, 25 Hydroxy-Vitamin D",DiaSorin S.p.A,SDS-001008,"29887, 23253",Sodium Azide,26628-22-8,Less Than (Max),0.00%,0.10%,0.05%,<0.1%,0.00%
SDS-009336,1-(4-Fluorobenzyl)piperazine,Sigma-Aldrich Corp.,SDS-009336,,1-(4-Fluorobenzyl)piperazine,70931-28-1,Less Than (Max),0.00%,100.00%,50.00%,<=100%,0.00%
SDS-009273,"17?-Hydroxyprogesterone-d8 (2,2,4,6,6,21,21,21-d8)",Sigma-Aldrich Corp.,SDS-009273,,Methanol,67-56-1,n/a,90.00%,100.00%,95.00%,90.00 - 100.00%,0.00%
SDS-007688,"1-Chlorobutane [Butyl Chloride] For HPLC, Spectrophotometry <br/>and Gas Chromatography OmniSolv",Merck KGaA,SDS-007688,,1-Chlorobutane,109-69-3,n/a,90.00%,100.00%,95.00%,>=90% - <=100%,0.00%
SDS-005918,"1-Chlorobutane, OmniSolv, Biosynthesis, For Peptide Sequencing",Merck KGaA,SDS-005918,,1-Chlorobutane,109-69-3,Pure Chemical,100.00%,100.00%,100.00%,100%,0.00%
SDS-002369,1-Naphthol,"Thermo Fisher Scientific, Inc.",SDS-002369,,Alpha-Naphthol,90-15-3,n/a,99.00%,99.00%,99.00%,99%,0.00%
SDS-005919,1-Octanol,"Thermo Fisher Scientific, Inc.",SDS-005919,,1-Octanol,111-87-5,Greater Than (Min),95.00%,100.00%,97.50%,>95%,0.00%
SDS-005920,1-Pentanol,"Thermo Fisher Scientific, Inc.",SDS-005920,,Amyl Alcohol,71-41-0,n/a,99.00%,99.00%,99.00%,99%,0.00%
SDS-005697,1X Tris/EDTA Solution,"Thermo Fisher Scientific, Inc.",SDS-005697,,Water,7732-18-5,n/a,95.00%,97.00%,96.00%,95-97%,0.00%
SDS-005697,1X Tris/EDTA Solution,"Thermo Fisher Scientific, Inc.",SDS-005697,,Tris (Hydroxymethyl) Aminomethane,77-86-1,Less Than (Max),0.00%,2.00%,1.00%,<2%,0.00%
SDS-005697,1X Tris/EDTA Solution,"Thermo Fisher Scientific, Inc.",SDS-005697,,Ethylenediaminetetraacetic Acid; (EDTA),60-00-4,Less Than (Max),0.00%,1.00%,0.50%,<1%,0.00%
SDS-005697,1X Tris/EDTA Solution,"Thermo Fisher Scientific, Inc.",SDS-005697,,Hydrochloric Acid,7647-01-0,Less Than (Max),0.00%,1.00%,0.50%,<1%,0.00%
SDS-006439,1X Tris/EDTA Solution,"Thermo Fisher Scientific, Inc.",SDS-006439,,Water,7732-18-5,n/a,95.00%,97.00%,96.00%,95 - 97%,0.00%
SDS-006439,1X Tris/EDTA Solution,"Thermo Fisher Scientific, Inc.",SDS-006439,,Tris (Hydroxymethyl) Aminomethane,77-86-1,Less Than (Max),0.00%,2.00%,1.00%,<2%,0.00%
SDS-006439,1X Tris/EDTA Solution,"Thermo Fisher Scientific, Inc.",SDS-006439,,Ethylenediaminetetraacetic Acid; (EDTA),60-00-4,Less Than (Max),0.00%,1.00%,0.50%,<1%,0.00%
SDS-006439,1X Tris/EDTA Solution,"Thermo Fisher Scientific, Inc.",SDS-006439,,Hydrochloric Acid,7647-01-0,Less Than (Max),0.00%,1.00%,0.50%,<1%,0.00%
SDS-007263,20X TE Buffer,"Thermo Fisher Scientific, Inc.",SDS-007263,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-005922,"2,2,3,3,3-Pentafluoro-1-propanol",Sigma-Aldrich Corp.,SDS-005922,,"2,2,3,3,3-Pentafluoropropanol",422-05-9,Less Than (Max),0.00%,100.00%,50.00%,?100.00%,0.00%
SDS-002230,"2,2,4-Trimethylpentane [Isooctane] For HPLC, Spectrophotometry <br/>and Gas Chromatography OmniSolv",Merck KGaA,SDS-002230,,Isooctane,540-84-1,n/a,90.00%,100.00%,95.00%,90.00 - 100.00%,0.00%
SDS-009230,2362-09-X200 R4120000 REGARD ORANGE JR. AIR FRESHENER,Wesclean,SDS-009230,,d-Limonene,5989-27-5,n/a,30.00%,60.00%,45.00%,30 - 60%,0.00%
SDS-009230,2362-09-X200 R4120000 REGARD ORANGE JR. AIR FRESHENER,Wesclean,SDS-009230,,Isobutane,75-28-5,n/a,15.00%,40.00%,27.50%,15 - 40%,0.00%
SDS-009230,2362-09-X200 R4120000 REGARD ORANGE JR. AIR FRESHENER,Wesclean,SDS-009230,,Ethanol (Ethyl Alcohol),64-17-5,n/a,10.00%,30.00%,20.00%,10 - 30%,0.00%
SDS-009230,2362-09-X200 R4120000 REGARD ORANGE JR. AIR FRESHENER,Wesclean,SDS-009230,,Propane,74-98-6,n/a,5.00%,10.00%,7.50%,5 - 10%,0.00%
SDS-009230,2362-09-X200 R4120000 REGARD ORANGE JR. AIR FRESHENER,Wesclean,SDS-009230,,Propylene Glycol,57-55-6,n/a,1.00%,5.00%,3.00%,1 - 5%,0.00%
